"","X..","X.DateOccur.","X.Count.","X.Crime.","X.District.","X.Neighborhood.","X.XCoord.","X.YCoord."
"18259","""18259""","""05/11/2015 16:00""",1,69702,3,25,894818.1,1007023
"18260","""18260""","""05/11/2015 16:00""",1,72140,4,37,901055.9,1019147
"18261","""18261""","""05/11/2015 16:10""",1,182130,5,50,886961.3,1033020
"18262","""18262""","""05/11/2015 16:30""",1,69702,6,69,895684.7,1035866
"18263","""18263""","""05/11/2015 16:33""",1,250000,4,35,907301,1016358
"18264","""18264""","""05/11/2015 16:36""",1,151110,5,50,885556.4,1038533
"18265","""18265""","""05/11/2015 16:58""",1,265321,6,79,900558.8,1038456
"18266","""18266""","""05/11/2015 17:00""",1,67701,1,80,889831.3,993186.7
"18267","""18267""","""05/11/2015 17:00""",1,64701,5,38,893684.9,1021926
"18268","""18268""","""05/11/2015 17:00""",1,71013,4,64,910262.1,1021899
"18269","""18269""","""05/11/2015 17:07""",1,265321,4,37,896288.4,1019968
"18270","""18270""","""05/11/2015 17:08""",1,250000,4,64,909508.7,1025976
"18271","""18271""","""05/11/2015 17:26""",1,265321,6,71,894499.4,1042001
"18272","""18272""","""05/11/2015 17:30""",1,142320,2,14,884417.2,1006264
"18273","""18273""","""05/11/2015 17:41""",1,142320,5,52,888247.6,1033106
"18274","""18274""","""05/11/2015 17:45""",1,250000,4,36,906107.8,1019097
"18275","""18275""","""05/11/2015 18:00""",1,91113,3,25,895846.6,1007628
"18276","""18276""","""05/11/2015 18:00""",1,91113,3,25,895846.6,1007628
"18277","""18277""","""05/11/2015 18:00""",1,69702,3,16,895081,1001873
"18278","""18278""","""05/11/2015 18:05""",1,250000,4,35,908187.4,1018534
"18279","""18279""","""05/11/2015 18:15""",1,265321,2,13,888375.3,1013648
"18280","""18280""","""05/11/2015 18:16""",1,67601,5,38,890198.6,1022484
"18281","""18281""","""05/11/2015 18:30""",1,67701,1,3,887739.9,997580.3
"18282","""18282""","""05/11/2015 18:55""",1,41013,5,58,891834.8,1025715
"18283","""18283""","""05/11/2015 19:00""",1,65601,6,73,893429.3,1050499
"18284","""18284""","""05/11/2015 19:00""",1,91123,3,22,899098.9,1007153
"18285","""18285""","""05/11/2015 19:12""",1,67701,3,19,897290,1005269
"18286","""18286""","""05/11/2015 19:22""",1,182400,5,50,885538.8,1038700
"18287","""18287""","""05/11/2015 19:23""",1,265321,1,6,879276.6,997993.2
"18288","""18288""","""05/11/2015 19:30""",1,142320,6,68,897757.8,1032854
"18289","""18289""","""05/11/2015 20:00""",1,142320,6,56,896161.2,1030090
"18290","""18290""","""05/11/2015 20:00""",1,51230,3,30,897097.2,1006150
"18291","""18291""","""05/11/2015 20:25""",1,91123,6,74,896321.1,1051430
"18292","""18292""","""05/11/2015 20:30""",1,265321,2,15,888046,1005190
"18293","""18293""","""05/11/2015 20:30""",1,229999,4,35,907375.6,1018946
"18294","""18294""","""05/11/2015 21:00""",1,142320,4,61,905421.5,1022269
"18295","""18295""","""05/11/2015 21:00""",1,72140,1,2,888873.6,987234.6
"18296","""18296""","""05/11/2015 21:00""",1,91114,1,2,887214.7,987638.4
"18297","""18297""","""05/11/2015 21:00""",1,263299,3,19,895082.6,1004021
"18298","""18298""","""05/11/2015 21:10""",1,265321,3,19,894430.3,1004117
"18299","""18299""","""05/11/2015 21:20""",1,41012,5,51,887750.6,1026917
"18300","""18300""","""05/11/2015 21:45""",1,142320,6,68,897661.3,1034279
"18301","""18301""","""05/11/2015 22:00""",1,72113,6,74,894756.7,1050467
"18302","""18302""","""05/11/2015 22:00""",1,65601,6,68,899026.3,1034959
"18303","""18303""","""05/11/2015 22:00""",1,142320,1,5,885022,999465
"18304","""18304""","""05/11/2015 22:00""",1,71013,1,3,889108.6,995926.4
"18305","""18305""","""05/11/2015 22:10""",1,91114,6,70,885302.6,1039441
"18306","""18306""","""05/11/2015 22:15""",1,241100,4,36,906030.1,1019288
"18307","""18307""","""05/11/2015 22:25""",1,31111,5,38,893059.9,1023040
"18308","""18308""","""05/11/2015 22:25""",1,31111,5,38,891921.8,1022983
"18309","""18309""","""05/11/2015 23:00""",1,43014,6,74,897728.8,1053297
"18310","""18310""","""05/11/2015 23:00""",1,52212,2,8,877576.9,1005058
"18311","""18311""","""05/11/2015 23:05""",1,142320,6,69,894936.7,1034279
"18312","""18312""","""05/11/2015 23:05""",1,182400,1,6,883840.6,999852.6
"18313","""18313""","""05/12/2015 00:05""",1,71013,1,1,885946.9,990054
"18314","""18314""","""05/12/2015 00:11""",1,115200,4,35,907003.4,1019090
"18315","""18315""","""05/12/2015 00:20""",1,91114,4,36,905099.6,1019591
"18316","""18316""","""05/12/2015 00:40""",1,67701,1,1,892694.8,995175.9
"18317","""18317""","""05/12/2015 00:46""",1,31111,4,36,906357.4,1018441
"18318","""18318""","""05/12/2015 01:15""",1,142320,3,33,904206.2,1013767
"18319","""18319""","""05/12/2015 01:46""",1,67701,5,38,893684.9,1021926
"18320","""18320""","""05/12/2015 02:30""",1,83000,5,78,885589.8,1030860
"18321","""18321""","""05/12/2015 02:32""",1,63701,3,21,902707.6,1010535
"18322","""18322""","""05/12/2015 02:54""",1,52230,2,9,876919.3,1004781
"18323","""18323""","""05/12/2015 04:00""",1,51230,3,18,899182.1,1002137
"18324","""18324""","""05/12/2015 05:00""",1,142320,4,61,906259,1021030
"18325","""18325""","""05/12/2015 06:30""",1,142320,5,50,885657.5,1033864
"18326","""18326""","""05/12/2015 06:30""",1,65701,6,74,896776,1050710
"18327","""18327""","""05/12/2015 06:50""",1,65701,4,64,905851.1,1034843
"18328","""18328""","""05/12/2015 07:00""",1,71040,4,59,900883.1,1028197
"18329","""18329""","""05/12/2015 07:00""",1,51322,1,4,882853.4,990161.4
"18330","""18330""","""05/12/2015 08:00""",1,51122,3,22,900063.6,1006004
"18331","""18331""","""05/12/2015 08:00""",1,72113,6,64,903579.1,1036761
"18332","""18332""","""05/12/2015 08:25""",1,241100,1,5,886059.1,1004133
"18333","""18333""","""05/12/2015 08:35""",1,241100,5,38,887946.9,1020729
"18334","""18334""","""05/12/2015 08:40""",1,142320,1,5,887770.9,998786.4
"18335","""18335""","""05/12/2015 08:56""",1,67701,3,31,899869,1013585
"18336","""18336""","""05/12/2015 09:00""",1,69602,1,17,895370.2,996431.8
"18337","""18337""","""05/12/2015 09:01""",1,263299,6,79,898344.4,1050289
"18338","""18338""","""05/12/2015 09:16""",1,265321,4,65,905351.6,1030728
"18339","""18339""","""05/12/2015 09:39""",1,266510,4,35,907715.6,1018136
"18340","""18340""","""05/12/2015 09:45""",1,71040,5,78,884595.9,1030273
"18341","""18341""","""05/12/2015 10:00""",1,91114,3,19,896022.9,1004535
"18342","""18342""","""05/12/2015 10:11""",1,51122,4,35,909245.6,1017409
"18343","""18343""","""05/12/2015 10:11""",-1,51122,4,35,909245.6,1017409
"18344","""18344""","""05/12/2015 10:21""",1,265321,5,54,889638.3,1027524
"18345","""18345""","""05/12/2015 10:30""",1,51122,5,46,879143.8,1026453
"18346","""18346""","""05/12/2015 10:31""",1,266510,3,25,897502.8,1010602
"18347","""18347""","""05/12/2015 10:59""",1,266999,3,33,904206.2,1013767
"18348","""18348""","""05/12/2015 11:00""",1,71013,6,67,900603.3,1032157
"18349","""18349""","""05/12/2015 11:07""",1,182400,5,56,892140.3,1031422
"18350","""18350""","""05/12/2015 11:10""",1,182130,5,53,888295.6,1030104
"18351","""18351""","""05/12/2015 11:21""",1,92000,4,35,910590.9,1018450
"18352","""18352""","""05/12/2015 11:28""",1,265321,5,38,888418.1,1021680
"18353","""18353""","""05/12/2015 11:30""",1,69602,6,68,897646.6,1032056
"18354","""18354""","""05/12/2015 11:36""",1,229999,4,35,909720.1,1017407
"18355","""18355""","""05/12/2015 11:37""",1,162000,1,2,890254.1,987554.1
"18356","""18356""","""05/12/2015 11:40""",1,115100,4,59,899825.3,1024601
"18357","""18357""","""05/12/2015 11:42""",1,162000,1,2,889606.9,988933.2
"18358","""18358""","""05/12/2015 11:45""",1,241100,2,13,886367.6,1011454
"18359","""18359""","""05/12/2015 11:45""",1,64701,4,59,901366.3,1022769
"18360","""18360""","""05/12/2015 11:54""",1,41011,5,52,888403.6,1033837
"18361","""18361""","""05/12/2015 11:54""",1,41011,5,52,888403.6,1033837
"18362","""18362""","""05/12/2015 11:54""",1,41011,5,52,888403.6,1033837
"18363","""18363""","""05/12/2015 11:54""",1,41011,5,52,888403.6,1033837
"18364","""18364""","""05/12/2015 11:54""",1,41011,5,52,888403.6,1033837
"18365","""18365""","""05/12/2015 12:10""",1,265321,3,25,896190.4,1007658
"18366","""18366""","""05/12/2015 12:22""",1,115400,4,37,895608.9,1019791
"18367","""18367""","""05/12/2015 12:28""",1,162000,1,2,889306.1,988477.2
"18368","""18368""","""05/12/2015 12:38""",1,65701,1,7,883327.3,1001008
"18369","""18369""","""05/12/2015 12:40""",1,265321,2,13,884943.3,1011453
"18370","""18370""","""05/12/2015 12:45""",1,162000,1,2,889459.1,988246.1
"18371","""18371""","""05/12/2015 13:00""",1,51322,2,15,890778.3,1008153
"18372","""18372""","""05/12/2015 13:47""",1,162000,1,2,889405.6,988292.6
"18373","""18373""","""05/12/2015 13:59""",1,265321,4,65,903829.1,1030870
"18374","""18374""","""05/12/2015 14:00""",1,41011,2,10,875642.5,1012470
"18375","""18375""","""05/12/2015 14:00""",1,31421,5,50,882087.8,1035986
"18376","""18376""","""05/12/2015 14:00""",1,41011,2,10,875642.5,1012470
"18377","""18377""","""05/12/2015 14:00""",1,71013,4,35,909180.4,1017685
"18378","""18378""","""05/12/2015 14:02""",1,263299,1,2,888289.8,987438.2
"18379","""18379""","""05/12/2015 14:04""",1,67601,5,53,897084.6,1022225
"18380","""18380""","""05/12/2015 14:30""",1,51122,4,62,909067,1020843
"18381","""18381""","""05/12/2015 14:45""",1,265321,4,59,900174,1026744
"18382","""18382""","""05/12/2015 14:50""",1,229999,4,35,908438.1,1017047
"18383","""18383""","""05/12/2015 15:00""",1,241100,5,78,883863.8,1030872
"18384","""18384""","""05/12/2015 15:00""",1,91113,3,20,904679.3,1009081
"18385","""18385""","""05/12/2015 15:00""",1,65701,5,48,877602.2,1027675
"18386","""18386""","""05/12/2015 15:40""",1,265321,6,74,896412.6,1048731
"18387","""18387""","""05/12/2015 15:47""",1,63701,5,38,888111,1026049
"18388","""18388""","""05/12/2015 15:50""",1,182250,3,30,895976.4,1006331
"18389","""18389""","""05/12/2015 16:00""",1,67701,1,5,885547.1,1003081
"18390","""18390""","""05/12/2015 16:20""",1,265321,3,23,899756,1011013
"18391","""18391""","""05/12/2015 16:26""",1,63701,5,50,888884.8,1036000
"18392","""18392""","""05/12/2015 16:26""",1,266999,5,50,888884.8,1036000
"18393","""18393""","""05/12/2015 16:30""",1,91303,3,21,905629.6,1011355
"18394","""18394""","""05/12/2015 16:30""",1,91113,3,21,905629.6,1011355
"18395","""18395""","""05/12/2015 16:45""",1,229999,4,35,908469.1,1016824
"18396","""18396""","""05/12/2015 16:48""",1,71013,2,15,891088.9,1004302
"18397","""18397""","""05/12/2015 16:51""",1,67601,5,38,893931.4,1023547
"18398","""18398""","""05/12/2015 17:00""",1,51322,1,1,891757,995797.1
"18399","""18399""","""05/12/2015 17:00""",1,142320,6,69,895680.4,1035083
"18400","""18400""","""05/12/2015 17:00""",1,52312,6,74,894727.4,1048747
"18401","""18401""","""05/12/2015 17:00""",1,250000,4,62,909780.6,1019712
"18402","""18402""","""05/12/2015 17:20""",1,71013,4,59,901366.3,1022769
"18403","""18403""","""05/12/2015 17:20""",1,65701,4,64,910024,1022237
"18404","""18404""","""05/12/2015 17:20""",1,69711,1,17,895081.4,998607.4
"18405","""18405""","""05/12/2015 17:45""",1,229999,4,35,908271.3,1018474
