,Precinct,MalePop,FemalePop,Male1524,Male65Plus,LaborForce,UnemploymentRate,HispanicUnemployed,WhiteUnemployed,HisWhiteUnemployed,HisBlackUnemployed,HisAsianUnemployed,AboveBacholarUnemployed,PovertyUnemployed,Income
26,43,78721.83333,90588.33333,13812.83333,6626.666667,100708.494,22818.24317,23632.6445,22684.75067,23007.42933,25696.43167,24259.04333,8819.590167,58229.6655,673292.8333
27,44,69574,78586.5,12370.16667,4745.5,85392.1785,24369.2075,23822.632,14400.851,24803.2915,26554.9795,8351.298,11375.4,47241.93,454080.5
28,45,50020,57620.5,7690,6718,65798.43,12242.5375,10980.5625,13212.133,11506.143,10025.249,4659.282,4165.8965,35634.4675,878620.5
29,46,56177.5,62475,10597,2991,73145.226,22089.23,21742.59,24749.981,27003.5005,25752.768,2439.136,13130.4535,38616.566,337947.5
30,47,76923.25,94394.5,12936.25,7967.25,107619.441,26198.62275,28893.2375,27671.744,24461.5765,25591.3975,13968.82625,12753.143,82403.82775,1007321.25
31,48,40782.91667,46597.66667,8625.416667,2532.083333,48597.0555,16642.53442,16302.444,12950.16267,15149.05733,18860.52483,6023.82675,9838.477667,32131.91042,251636.4167
32,49,52270.41667,58597.83333,7685.916667,6010.75,69446.74867,14725.21875,16027.61717,16997.577,14118.85883,11496.63783,9790.74225,6669.367,44796.67742,844781.75
33,50,45738.5,55530.5,6759,6468.5,63514.5505,11764.6065,12057.9485,8113.5175,7868.8615,12562.4755,8432.113,6843.1825,38437.134,850999
34,52,68313.08333,75720.83333,12269.75,4476.083333,90077.2845,22743.85325,21625.842,37156.6375,23765.313,25191.78567,16591.29842,16411.152,47963.47142,480281.75
35,60,47488.5,55818.83333,6780.5,8509.666667,53801.2685,13230.71017,13324.2605,10309.58117,10599.24717,15893.198,9360.285667,7445.922167,30033.02783,574028.6667
36,61,78372.5,85825.83333,10765.5,11253.16667,94926.3135,15595.33117,18943.6615,14708.08567,14779.59417,12683.615,12793.04367,12604.47717,52775.73833,1503999.667
37,62,89022.66667,93056.16667,12466,10876,107367.0085,17825.48617,14060.2785,19188.48967,18737.99067,14629.353,16673.02017,14167.90117,41249.83383,1331704.333
38,63,48317.83333,56847.33333,7265.5,5447.166667,66654.88467,10405.30567,10398.52467,7259.804667,8788.608167,8501.388833,5158.166833,6170.741167,36377.62,1343567.5
39,66,93316.16667,92973.83333,15254.16667,7659.166667,107938.394,13690.7375,14393.903,13381.633,13458.459,15942.94,14293.8375,8296.812,25232.3095,938809.5
40,67,64404.33333,81615.08333,10342.25,6993.916667,91561.71617,17093.94567,11773.65467,15097.07317,18782.71467,17095.52058,5120.046333,10140.45892,48573.8555,1049949.25
41,68,62830.66667,65317.33333,7886.666667,7185.166667,78801.559,11099.95,9337.8365,11339.0185,11455.502,9549.34,10031.338,8447.105,31707.1395,1495129
42,69,37418.16667,47805.41667,6678.25,3210.916667,56634.8905,8890.918333,7109.1905,9123.235333,10226.06867,8716.662583,6387.858,5670.139583,32928.66917,847498.9167
43,70,76657.83333,86359.33333,12451,7318.666667,102553.9362,16908.62167,16815.94367,13267.71367,14638.91517,19050.27383,20358.40133,10741.50217,47245.783,1125455.5
44,71,46466.5,56266.5,7576.5,4539,65806.1505,16056.796,14346.2465,6581.064,6944.6265,18611.5595,4200.6065,8201.9265,33949.9815,557586.5
45,72,61411,60141.5,9266.666667,4190.333333,82428.906,11821.616,14139.783,8715.969,10975.755,17020.7715,9327.2795,7221.082,30629.0285,782123.3333
46,73,38317.66667,49274.41667,7476.25,2949.416667,47614.456,12944.35283,10662.171,13093.93683,17195.07867,13233.20308,5508,5171.925583,32698.52667,395495.4167
47,75,84268.66667,100746.4167,16003.25,6830.916667,101893.9235,24432.15683,23315.6895,13593.88233,19339.19267,26991.96558,9920.106,11916.88458,62305.90167,878304.9167
48,76,19446.5,22173.33333,1855.666667,1665.666667,29907.54233,4069.046667,6813.310333,1400.691333,2211.7975,9411.1065,3348.933,2633.3805,17721.65833,723668
49,77,43700.33333,53184.16667,6639.166667,3583.166667,64065.6435,10873.564,10973.1525,10300.24,9272.707,13188.031,2784.7155,3909.1445,33641.575,723719.3333
50,78,27233.83333,30682,2282.833333,2101.833333,45392.57283,3743.026167,6658.934333,2705.299333,2996.8625,4917.5745,2704.226,2413.055,15398.69883,1006045.833
51,79,42688.5,49758,7661.5,2938.5,58978.7835,13628.0695,11680.2415,8086.6745,8722.525,15590.4705,5979.37,7310.881,31610.008,611865
52,81,28498.5,34263,4902.5,2198,38800.0645,10521.1835,8814.4335,2535.0525,6324.496,11718.4305,4100.082,4126.319,27071.859,393318.5
53,83,56357.5,57065.5,10550.5,3352,76113.671,16911.301,18487.594,7771.003,15535.515,21651.622,11830.325,8011.009,39579.285,526398.5
54,84,28067,30357.33333,3514.166667,2336.666667,41960.20333,4201.752167,4105.215833,2302.036833,3037.92,7120.956,2614.1255,2040.055,15088.84933,1234227
55,88,24320.83333,29025.16667,3274.166667,2080.166667,37195.7225,6200.6895,7785.754,3230.114,3612.7585,9128.9035,4288.416,3298.777,18447.967,799401.3333
56,90,60226,62083,10358,3726.5,74535.988,9821.89,13768.4205,5679.2325,8322.4695,10681.7915,4461.416,3542.759,25264.205,690674.5
57,94,25282,25492,2809,1795.5,39010.781,3309.868,3060.3505,3142.0205,3101.4945,3156.6425,2847.207,2388.781,12654.973,868456.5
58,100,24340,27005.5,3368,3163.5,28673.8785,5332.3885,4848.524,5683.651,4675.253,6987.545,6361.6705,2856.45,20187.696,411052.5
59,101,29674,33958.5,4935,3146.5,36644.7735,7635.4265,6870.516,3757.467,5753.675,9396.366,7376.1445,4599.7,20118.071,222582.5
60,102,71876,72899.83333,11296.66667,5720.666667,95396.69267,15064.4835,14073.7805,13055.83867,12000.0335,21514.638,15363.953,10071.095,41278.26033,1244316.5
61,103,49937,53583.5,8316,4172,67380.9165,16292.688,13250.01,11675.4335,9557.914,18802.8435,11271.527,12080.166,40074.8625,609164
62,104,82989.33333,86970.83333,11104,8482,107034.2483,13839.20567,14335.11,14614.03317,13968.81117,19591.903,6985.5875,8602.9785,53370.226,1779869
63,105,85617,98815.5,12851,10471.5,118977.092,16886.205,16703.1515,13082.299,13002.372,15470.0305,13082.289,10462.578,51861.6365,1893141.5
64,106,53799.5,57640,8025.5,5771.5,71378.047,12373.871,11261.011,10108.17,10698.4885,12312.494,8761.8175,7290.4725,34525.3015,729327
65,107,71051.06667,77327.8,11269.36667,8342.666667,91490.44983,15527.04133,15114.8455,13765.8335,14058.49483,21075.0095,13342.725,12277.3585,35620.06233,1138508.3
66,108,61582.83333,59924.66667,7565,5296.333333,82952.364,8392.018,7622.5845,9957.86,8186.5295,12905.447,7320.46,6743.4065,27824.885,912470.6667
67,109,121209.4,132982.8,15051.7,17292.5,150695.021,22140.694,21008.4465,27695.1295,24867.8505,25756.9395,21174.6425,16252.542,53819.8235,1695869.8
68,110,89362.73333,85160.96667,13683.7,6800.833333,112506.378,11329.3655,10443.8015,12536.1795,9560.8845,15764.8095,12334.2145,9736.327,26007.0515,681292.4667
69,111,52481,57683,6288.5,7796.5,69457.0775,8133.897,4977.0495,8518.717,7823.9095,8825.1105,8278.6755,6718.2845,29408.257,1230234.5
70,112,52283.4,60195.63333,5043.366667,8035.166667,72029.13517,8118.282,6762.906,8012.335667,7690.5245,12475.7295,6912.4195,5902.477,36857.30033,1331105.3
71,113,62572.5,77167,10549.5,6277,94033.942,18469.2175,22518.5845,18181.354,20538.422,18866.9845,6766.262,10529.5495,58161.332,1325681
72,114,101998.5,97477.5,15079.5,8921,131174.166,19460.257,20284.2525,20497,18169.521,25598.6845,19493.598,12533.9135,55880.587,1819700.5
73,115,87746.73333,82410.46667,13461.7,6955.333333,112422.7305,14715.2075,13773.962,10824.9025,12372.8355,21140.378,18082.462,13431.471,42102.004,746449.9667
74,120,86798.5,91833.5,13636.5,7769.5,105980.7355,15620.4015,14658.298,16366.1415,14089.546,17711.0565,12814.2555,8405.256,50992.264,1347172.5
75,122,91595.5,99233.5,12626,11755.5,112867.775,14289.383,16331.294,14271.153,14779.209,7165.5535,11235.1375,7249.544,58199.9415,1460242
76,123,48895,50374,6700.5,5112,59828.3385,6340.0245,5803.193,6341.1555,6319,1515.642,4230.904,3607.446,27634.7135,670179.5
