"","Precinct","Whitepop","Blackpop","Nativepop","Asianpop","Nativepacpop","Otherpop","Mixedpop","Totalpop","Malepop","Femalepop","Male1524","Male65Plus","Unplyrate","HisUnplyrate","WUnplyrate","HisWUnplyrate","HisBUnplyrate","HisAUnplyrate","BlwHSchlUnplyrate","AbBchlrUnplyrate","PvtyUnplyrate","X","Population","White","Asian","Black","Hispanic","Mixed","NatvieOther","HisWhite","HisAsian","HisBlack","HisMixed","HisNatvieOther"
"42",69,6884,71565,316,2254,14,2371,1819,85223,37419,47806,6678,3211,8894,7110,9123,10226,8715,6386,12980,5668,32929,42,84480,4972,2233,68396,7059,1287,533,1913,40,2441,518,2147
"43",70,69082,62181,746,14690,52,11817,4453,163017,76657,86359,12454,7320,16907,16815,13266,14637,19047,20359,23223,10741,47245,43,160664,59590,15147,56948,25165,2683,1131,7572,134,4036,1852,11571
"44",71,20074,75135,376,1285,35,3191,2634,102732,46465,56266,7577,4539,16054,14346,6582,6946,18611,4201,16623,8203,33952,44,98429,18825,1214,66958,9157,1671,604,1987,39,3456,876,2799
"45",72,51796,5549,1527,31327,53,25909,5387,121552,61411,60142,9267,4190,11824,14140,8715,10976,17022,9329,13205,7223,30629,45,126230,29464,33288,3688,57375,1770,645,23247,277,2161,3724,27966
"46",73,4797,72375,665,667,36,6402,2648,87592,38320,49276,7475,2951,12945,10662,13094,17196,13235,5508,16198,5172,32699,46,86468,858,604,65930,17369,1124,583,4290,29,4749,1549,6752
"47",75,26989,106866,1819,9139,177,32016,8007,185014,84269,100747,16002,6831,24433,23320,13595,19341,26992,9921,29933,11918,62307,47,183328,6245,8979,94685,67131,2908,3380,20624,155,10767,5046,30539
"48",76,28916,6083,197,1946,19,2820,1637,41619,19447,22173,1856,1666,4068,6813,1401,2211,9411,3349,7388,2633,17720,48,43694,24791,2018,6097,9543,1014,231,4552,42,1107,722,3120
"49",77,19890,66464,411,2664,46,4040,3368,96884,43698,53185,6639,3582,10873,10974,10303,9273,13189,2785,20829,3910,33642,49,96309,16048,2712,63111,11498,2304,636,2763,31,3659,1074,3971
"50",78,43204,5493,179,3444,22,2989,2582,57916,27232,30683,2284,2104,3742,6660,2706,2998,4920,2704,9466,2413,15399,50,61099,40965,3517,4877,9509,1872,359,4817,65,795,837,2995
"51",79,20917,56217,619,2506,86,8782,3316,92445,42689,49756,7662,2938,13629,11679,8084,8721,15590,5980,18992,7310,31610,51,90263,14506,2390,51142,20014,1634,577,5869,53,3735,1611,8746
