"","DBN","NumTest","NumTest5th","MeanScore","MeanScore5th","L1Num","L1Num5th","L2Num","L2Num5th","L3Num","L3Num5th","L4Num","L4Num5th","L34Num","L34Num5th","L34Pct","L34Pct5th","Improv","Improv5th"
"809","27Q253",31,NA,652,NA,1,NA,16,NA,14,NA,0,NA,14,NA,45.2,NA,0,NA
"810","27Q254",32,NA,690,NA,1,NA,2,NA,25,NA,4,NA,29,NA,90.6,NA,0,NA
"811","27Q262",291,NA,667,NA,0,NA,84,NA,181,NA,26,NA,207,NA,71.1,NA,0,NA
"812","27Q323",293,NA,695,NA,0,NA,4,NA,190,NA,99,NA,289,NA,98.6,NA,0,NA
"813","28Q008",995,NA,628,NA,154,NA,602,NA,228,NA,11,NA,239,NA,24,NA,0,NA
"814","28Q030",289,109,644,642,51,17,102,43,129,47,7,2,136,49,47.1,45,0,0
"815","28Q040",326,84,632,633,70,13,164,44,91,26,1,1,92,27,28.2,32.1,0,0
"816","28Q048",183,55,651,645,11,3,78,29,87,20,7,3,94,23,51.4,41.8,0,0
"817","28Q050",414,106,654,653,30,4,159,46,204,50,21,6,225,56,54.3,52.8,0,0
"818","28Q054",244,93,656,652,23,8,69,29,144,52,8,4,152,56,62.3,60.2,0,0
"819","28Q055",370,108,645,643,54,15,132,39,174,50,10,4,184,54,49.7,50,0,0
"820","28Q072",857,NA,635,NA,134,NA,400,NA,302,NA,21,NA,323,NA,37.7,NA,0,NA
"821","28Q080",315,114,652,648,46,16,92,34,160,56,17,8,177,64,56.2,56.1,0,0
"822","28Q082",215,79,675,673,4,2,35,12,157,56,19,9,176,65,81.9,82.3,0,0
"823","28Q086",772,217,657,651,40,15,254,76,452,117,26,9,478,126,61.9,58.1,0,0
"824","28Q099",391,98,671,671,21,3,66,21,262,58,42,16,304,74,77.7,75.5,0,0
"825","28Q101",295,72,687,694,12,1,32,7,182,40,69,24,251,64,85.1,88.9,0,0
"826","28Q117",561,127,672,678,23,5,123,28,340,62,75,32,415,94,74,74,0,0
"827","28Q121",635,172,658,658,37,8,193,46,378,109,27,9,405,118,63.8,68.6,0,0
"828","28Q139",434,109,675,675,12,2,78,20,294,68,50,19,344,87,79.3,79.8,0,0
"829","28Q140",424,125,647,648,36,11,198,56,174,50,16,8,190,58,44.8,46.4,0,0
"830","28Q144",345,88,686,696,17,1,50,9,191,47,87,31,278,78,80.6,88.6,0,0
"831","28Q157",899,NA,657,NA,68,NA,286,NA,453,NA,92,NA,545,NA,60.6,NA,0,NA
"832","28Q160",425,112,650,650,30,7,178,42,204,59,13,4,217,63,51.1,56.3,0,0
"833","28Q161",438,108,660,658,13,3,131,35,275,61,19,9,294,70,67.1,64.8,0,0
"834","28Q174",292,75,670,662,25,9,50,17,179,38,38,11,217,49,74.3,65.3,0,0
"835","28Q175",260,103,666,662,28,12,56,25,148,51,28,15,176,66,67.7,64.1,0,0
"836","28Q190",796,NA,660,NA,42,NA,244,NA,452,NA,58,NA,510,NA,64.1,NA,0,NA
"837","28Q196",261,78,699,719,9,0,20,3,148,27,84,48,232,75,88.9,96.2,0,0
"838","28Q206",268,94,664,666,15,2,62,22,174,62,17,8,191,70,71.3,74.5,0,0
"839","28Q217",1080,NA,646,NA,98,NA,464,NA,486,NA,32,NA,518,NA,48,NA,0,NA
"840","28Q220",175,53,665,664,11,1,38,13,117,37,9,2,126,39,72,73.6,0,0
"841","28Q680",177,NA,678,NA,1,NA,25,NA,124,NA,27,NA,151,NA,85.3,NA,0,NA
"842","29Q015",217,70,650,648,21,7,79,29,116,33,1,1,117,34,53.9,48.6,0,0
"843","29Q033",580,192,661,655,34,13,169,68,349,99,28,12,377,111,65,57.8,0,0
"844","29Q034",286,101,654,650,25,7,94,35,156,54,11,5,167,59,58.4,58.4,0,0
"845","29Q035",319,108,654,652,30,8,122,41,158,55,9,4,167,59,52.4,54.6,0,0
"846","29Q036",235,77,658,658,18,4,73,23,132,43,12,7,144,50,61.3,64.9,0,0
"847","29Q037",315,96,640,634,50,15,142,49,110,29,13,3,123,32,39,33.3,0,0
"848","29Q038",258,67,651,649,34,7,78,23,134,34,12,3,146,37,56.6,55.2,0,0
"849","29Q052",292,79,647,641,36,8,107,34,143,35,6,2,149,37,51,46.8,0,0
"850","29Q059",1043,NA,633,NA,139,NA,580,NA,314,NA,10,NA,324,NA,31.1,NA,0,NA
"851","29Q095",538,215,662,656,31,11,172,76,299,112,36,16,335,128,62.3,59.5,0,0
"852","29Q109",1427,NA,643,NA,129,NA,696,NA,561,NA,41,NA,602,NA,42.2,NA,0,NA
"853","29Q116",410,93,644,641,44,7,188,51,170,35,8,0,178,35,43.4,37.6,0,0
"854","29Q118",366,119,664,676,31,7,112,33,187,52,36,27,223,79,60.9,66.4,0,0
"855","29Q131",282,88,677,673,7,2,49,16,197,56,29,14,226,70,80.1,79.5,0,0
"856","29Q132",199,66,659,660,16,1,56,18,120,45,7,2,127,47,63.8,71.2,0,0
"857","29Q134",196,73,647,642,21,9,82,31,86,32,7,1,93,33,47.4,45.2,0,0
"858","29Q135",571,204,665,664,31,9,141,58,353,114,46,23,399,137,69.9,67.2,0,0
"859","29Q136",351,122,646,644,48,13,139,55,156,48,8,6,164,54,46.7,44.3,0,0
"860","29Q138",560,107,641,646,78,14,236,36,239,54,7,3,246,57,43.9,53.3,0,0
"861","29Q147",459,130,645,643,60,15,188,57,203,53,8,5,211,58,46,44.6,0,0
"862","29Q156",494,104,652,658,38,3,175,37,262,55,19,9,281,64,56.9,61.5,0,0
"863","29Q176",339,135,658,663,29,7,100,39,186,71,24,18,210,89,61.9,65.9,0,0
"864","29Q181",314,74,643,637,48,5,122,47,135,21,9,1,144,22,45.9,29.7,0,0
"865","29Q192",737,NA,632,NA,98,NA,428,NA,202,NA,9,NA,211,NA,28.6,NA,0,NA
"866","29Q195",426,117,646,646,60,19,161,37,183,55,22,6,205,61,48.1,52.1,0,0
"867","29Q208",552,83,668,676,22,0,142,12,336,60,52,11,388,71,70.3,85.5,0,0
"868","29Q231",1172,NA,638,NA,145,NA,623,NA,392,NA,12,NA,404,NA,34.5,NA,0,NA
"869","29Q238",1425,NA,637,NA,207,NA,681,NA,498,NA,39,NA,537,NA,37.7,NA,0,NA
"870","29Q251",92,NA,654,NA,8,NA,30,NA,52,NA,2,NA,54,NA,58.7,NA,0,NA
"871","29Q259",72,NA,646,NA,3,NA,32,NA,35,NA,2,NA,37,NA,51.4,NA,0,NA
"872","29Q268",263,68,657,656,15,1,79,21,161,41,8,5,169,46,64.3,67.6,0,0
"873","29Q270",322,85,666,667,4,1,86,21,212,55,20,8,232,63,72,74.1,0,0
"874","30Q002",276,100,671,661,9,4,55,30,187,57,25,9,212,66,76.8,66,0,0
"875","30Q010",801,NA,642,NA,82,NA,383,NA,319,NA,17,NA,336,NA,41.9,NA,0,NA
"876","30Q011",545,155,677,678,10,2,104,28,357,100,74,25,431,125,79.1,80.6,0,0
"877","30Q017",274,96,652,654,22,4,112,37,133,52,7,3,140,55,51.1,57.3,0,0
"878","30Q069",521,180,679,673,10,6,98,34,344,112,69,28,413,140,79.3,77.8,0,0
"879","30Q070",456,148,666,656,21,12,117,49,279,78,39,9,318,87,69.7,58.8,0,0
"880","30Q076",247,87,647,643,40,12,78,32,124,40,5,3,129,43,52.2,49.4,0,0
"881","30Q078",90,30,662,654,4,1,31,15,50,12,5,2,55,14,61.1,46.7,0,0
"882","30Q084",152,55,660,661,17,4,31,9,93,37,11,5,104,42,68.4,76.4,0,0
"883","30Q085",158,58,670,665,9,5,27,11,109,35,13,7,122,42,77.2,72.4,0,0
"884","30Q092",266,110,651,645,29,11,88,42,143,54,6,3,149,57,56,51.8,0,0
"885","30Q111",207,88,640,646,47,17,83,32,57,28,20,11,77,39,37.2,44.3,0,0
