"","DBN","School","NumTest","NumTest5th","MeanScore","MeanScore5th","L1Num","L1Num5th","L2Num","L2Num5th","L3Num","L3Num5th","L4Num","L4Num5th","L34Num","L34Num5th","L34Pct","L34Pct5th","Improv","Improv5th"
"605","17K543","SCIENCE  TECHNOLOGY AND RESEARCH EARLY COLLEGE HIGH SCHOOL AT ERASMUS",159,NA,315,NA,13,NA,82,NA,54,NA,10,NA,64,NA,40.3,NA,NA,NA
"606","17K590","MEDGAR EVERS COLLEGE PREPARATORY SCHOOL",104,NA,342,NA,0,NA,6,NA,49,NA,49,NA,98,NA,94.2,NA,22.8,NA
"607","17K705","BROOKLYN ARTS AND SCIENCE ELEMENTARY SCHOOL",71,21,284,275,36,12,19,6,11,3,5,0,16,3,22.5,14.3,NA,NA
"608","17K722","NEW HEIGHTS MIDDLE SCHOOL",293,NA,276,NA,179,NA,97,NA,16,NA,1,NA,17,NA,5.8,NA,NA,NA
"609","17K770","P.S. 770 NEW AMERICAN ACADEMY",94,15,280,277,45,9,39,6,10,0,0,0,10,0,10.6,0,NA,NA
"610","18K066","P.S. 66",546,73,305,311,126,18,237,22,133,26,50,7,183,33,33.5,45.2,-18.5,0.4
"611","18K068","I.S. 068 ISAAC BILDERSEE",534,NA,281,NA,300,NA,200,NA,32,NA,2,NA,34,NA,6.4,NA,-22.9,NA
"612","18K114","P.S. 114 RYDER ELEMENTARY",267,85,290,291,119,38,84,31,52,15,12,1,64,16,24,18.8,-36.7,-37.7
"613","18K115","P.S. 115 DANIEL MUCATEL SCHOOL",539,162,298,302,196,62,171,47,113,39,59,14,172,53,31.9,32.7,-39.4,-32.6
"614","18K135","P.S. 135 SHELDON A. BROOKNER",309,84,291,289,126,41,115,34,47,9,21,0,68,9,22,10.7,-52.3,-57.5
"615","18K208","P.S. 208 ELSA EBELING",211,64,298,308,66,18,88,24,42,15,15,7,57,22,27,34.4,-37.3,-24.5
"616","18K211","I.S. 211 JOHN WILSON",573,NA,290,NA,250,NA,217,NA,84,NA,22,NA,106,NA,18.5,NA,-11.1,NA
"617","18K219","P.S. 219 KENNEDY-KING",232,81,286,287,111,42,75,21,38,17,8,1,46,18,19.8,22.2,-42.1,-36.7
"618","18K233","P.S. 233 LANGSTON HUGHES",218,66,295,304,70,16,96,32,41,15,11,3,52,18,23.9,27.3,-43.2,-23.3
"619","18K235","P.S. 235 LENOX SCHOOL",695,144,317,309,103,35,206,45,231,50,155,14,386,64,55.5,44.4,-34.7,-40.1
"620","18K244","P.S. 244 RICHARD R. GREEN",301,84,299,305,101,29,102,23,63,23,35,9,98,32,32.6,38.1,-38.3,-26.9
"621","18K268","P.S. 268 EMMA LAZARUS",222,60,285,290,108,31,77,16,26,10,11,3,37,13,16.7,21.7,-48.7,-26.2
"622","18K272","P.S. 272 CURTIS ESTABROOK",200,65,285,283,103,40,69,21,21,2,7,2,28,4,14,6.2,-41.2,-46.3
"623","18K276","P.S. 276 LOUIS MARSHALL",319,99,289,288,153,55,92,27,60,14,14,3,74,17,23.2,17.2,-43.7,-44.5
"624","18K279","P.S. 279 HERMAN SCHREIBER",227,75,294,301,83,25,86,33,43,14,15,3,58,17,25.6,22.7,-46.2,-43.3
"625","18K285","I.S. 285 MEYER LEVIN",746,NA,291,NA,320,NA,305,NA,91,NA,30,NA,121,NA,16.2,NA,-19.2,NA
"626","18K366","THE SCIENCE AND MEDICINE MIDDLE SCHOOL",479,NA,292,NA,198,NA,188,NA,74,NA,19,NA,93,NA,19.4,NA,NA,NA
"627","18K581","EAST FLATBUSH COMMUNITY RESEARCH SCHOOL",159,NA,282,NA,84,NA,57,NA,16,NA,2,NA,18,NA,11.3,NA,NA,NA
"628","18K588","MIDDLE SCHOOL FOR ART AND PHILOSOPHY",230,NA,282,NA,122,NA,90,NA,15,NA,3,NA,18,NA,7.8,NA,NA,NA
"629","18K598","MIDDLE SCHOOL OF MARKETING AND LEGAL STUDIES",228,NA,278,NA,142,NA,73,NA,11,NA,2,NA,13,NA,5.7,NA,NA,NA
"630","18K763","BROOKLYN SCIENCE AND ENGINEERING ACADEMY",75,NA,287,NA,25,NA,44,NA,6,NA,0,NA,6,NA,8,NA,NA,NA
"631","19K007","P.S. 007 ABRAHAM LINCOLN",485,166,288,289,226,83,151,44,82,31,26,8,108,39,22.3,23.5,-62.2,NA
"632","19K013","P.S. 013 ROBERTO CLEMENTE",199,60,283,283,94,36,72,11,22,8,11,5,33,13,16.6,21.7,-42,-32.8
"633","19K065","P.S. 065",336,87,306,305,80,26,113,28,96,23,47,10,143,33,42.6,37.9,-30.6,-30.1
"634","19K089","P.S. 089 CYPRESS HILLS",286,40,285,296,129,17,118,13,32,7,7,3,39,10,13.6,25,-48.1,-27.2
"635","19K108","P.S. 108 SAL ABBRACCIAMENTO",400,131,309,321,76,18,147,37,125,54,52,22,177,76,44.3,58,-35,-10.2
"636","19K149","P.S. 149 DANNY KAYE",299,88,284,295,156,37,90,31,34,15,19,5,53,20,17.7,22.7,-51.5,-41.5
"637","19K158","P.S. 158 WARWICK",245,83,286,292,120,40,84,29,34,13,7,1,41,14,16.7,16.9,-46.8,-31.8
"638","19K159","P.S. 159 ISAAC PITKIN",376,106,295,306,149,40,119,26,61,24,47,16,108,40,28.7,37.7,-37.5,-19.1
"639","19K166","J.H.S. 166 GEORGE GERSHWIN",86,NA,270,NA,61,NA,24,NA,1,NA,0,NA,1,NA,1.2,NA,-18.7,NA
"640","19K171","I.S. 171 ABRAHAM LINCOLN",623,NA,283,NA,342,NA,202,NA,60,NA,19,NA,79,NA,12.7,NA,-24,NA
"641","19K174","P.S. 174 DUMONT",131,44,272,267,89,37,30,2,11,5,1,0,12,5,9.2,11.4,-32.1,-16.9
"642","19K190","P.S. 190 SHEFFIELD",79,28,289,303,36,10,27,9,14,8,2,1,16,9,20.3,32.1,-48.6,-29.9
"643","19K202","P.S. 202 ERNEST S. JENKYNS",260,68,279,293,150,35,69,16,28,9,13,8,41,17,15.8,25,-31.4,-25.4
"644","19K213","P.S. 213 NEW LOTS",182,57,279,285,97,33,62,16,20,7,3,1,23,8,12.6,14,-46.3,-37.2
"645","19K214","P.S. 214 MICHAEL FRIEDSAM",418,156,297,305,153,48,134,54,84,32,47,22,131,54,31.3,34.6,-32,-15.1
"646","19K218","J.H.S. 218 JAMES P. SINNOTT",389,NA,274,NA,256,NA,103,NA,23,NA,7,NA,30,NA,7.7,NA,-35.3,NA
"647","19K224","P.S. 224 HALE A. WOODRUFF",224,68,284,289,111,33,72,19,26,12,15,4,41,16,18.3,23.5,-33.4,-25.3
"648","19K273","P.S. 273 WORTMAN",165,57,286,286,75,34,64,18,19,4,7,1,26,5,15.8,8.8,-43.2,-36.9
"649","19K290","P.S. 290 JUAN MOREL CAMPOS",245,73,305,304,56,20,101,30,65,19,23,4,88,23,35.9,31.5,-49.8,-50.1
"650","19K292","J.H.S. 292 MARGARET S. DOUGLAS",594,NA,286,NA,313,NA,172,NA,68,NA,41,NA,109,NA,18.4,NA,-12.4,NA
"651","19K302","J.H.S. 302 RAFAEL CORDERO",249,NA,275,NA,152,NA,79,NA,18,NA,0,NA,18,NA,7.2,NA,-22.4,NA
"652","19K306","P.S. 306 ETHAN ALLEN",357,61,271,282,238,35,95,21,22,5,2,0,24,5,6.7,8.2,-44.7,-30.9
"653","19K311","ESSENCE SCHOOL",125,NA,262,NA,100,NA,23,NA,2,NA,0,NA,2,NA,1.6,NA,-43.2,NA
"654","19K325","THE FRESH CREEK SCHOOL",88,21,275,271,54,18,22,2,11,1,1,0,12,1,13.6,4.8,NA,NA
"655","19K328","P.S. 328 PHYLLIS WHEATLEY",122,36,278,290,68,15,36,13,16,8,2,0,18,8,14.8,22.2,-30.5,-9.7
"656","19K345","P.S. 345 PATROLMAN ROBERT BOLDEN",296,95,284,295,144,37,97,34,46,19,9,5,55,24,18.6,25.3,-58.1,-44.3
"657","19K346","P.S. 346 ABE STARK",305,100,296,309,98,20,118,41,70,32,19,7,89,39,29.2,39,-32.5,-14.7
"658","19K364","I.S. 364 GATEWAY",285,NA,285,NA,143,NA,99,NA,32,NA,11,NA,43,NA,15.1,NA,-20.7,NA
"659","19K404","ACADEMY FOR YOUNG WRITERS",136,NA,268,NA,99,NA,31,NA,5,NA,1,NA,6,NA,4.4,NA,NA,NA
"660","19K409","EAST NEW YORK FAMILY ACADEMY",194,NA,312,NA,33,NA,85,NA,51,NA,25,NA,76,NA,39.2,NA,-55.7,NA
"661","19K422","SPRING CREEK COMMUNITY SCHOOL",225,NA,277,NA,134,NA,76,NA,14,NA,1,NA,15,NA,6.7,NA,NA,NA
"662","19K452","FREDERICK DOUGLASS ACADEMY VIII MIDDLE SCHOOL",222,NA,300,NA,71,NA,80,NA,50,NA,21,NA,71,NA,32,NA,NA,NA
"663","19K557","BROOKLYN GARDENS ELEMENTARY SCHOOL",40,NA,274,NA,24,NA,11,NA,5,NA,0,NA,5,NA,12.5,NA,NA,NA
"664","19K654","VAN SICLEN COMMUNITY MIDDLE SCHOOL",215,NA,265,NA,155,NA,55,NA,5,NA,0,NA,5,NA,2.3,NA,NA,NA
"665","19K661","VISTA ACADEMY",220,NA,292,NA,83,NA,85,NA,40,NA,12,NA,52,NA,23.6,NA,NA,NA
"666","19K662","LIBERTY AVENUE MIDDLE SCHOOL",279,NA,286,NA,132,NA,103,NA,37,NA,7,NA,44,NA,15.8,NA,NA,NA
"667","19K663","SCHOOL OF THE FUTURE BROOKLYN",68,NA,285,NA,34,NA,29,NA,5,NA,0,NA,5,NA,7.4,NA,NA,NA
"668","19K677","EAST NEW YORK ELEMENTARY SCHOOL OF EXCELLENCE",256,74,289,289,108,36,93,23,39,13,16,2,55,15,21.5,20.3,NA,NA
"669","19K678","EAST NEW YORK MIDDLE SCHOOL OF EXCELLENCE",222,NA,271,NA,155,NA,60,NA,6,NA,1,NA,7,NA,3.2,NA,NA,NA
